Transaction_ID,Settlement_Amount,Settlement_Date,Settlement_Status
TXN100182,3722.51,2025-01-03,Settled
TXN100183,749.55,2025-01-10,Settled
TXN100184,4118.11,2025-06-21,Failed
TXN100185,3981.10,2025-01-16,Settled
TXN100186,4864.25,2025-02-20,Settled
TXN100187,793.88,2025-06-28,Settled
TXN100188,4537.73,2025-01-15,Settled
TXN100189,1738.46,2025-05-18,Settled
TXN100190,2109.50,2025-02-07,Settled
TXN100191,2368.80,2025-05-05,Settled
TXN100192,3153.18,2025-02-17,Failed
TXN100193,4974.08,2025-05-31,Settled
TXN100194,3019.80,2025-06-14,Settled
TXN100195,4637.24,2025-03-14,Settled
TXN100196,1312.39,2025-02-02,Settled
TXN100197,2022.14,2025-04-07,Settled
TXN100199,1648.36,2025-02-04,Settled
TXN100200,4885.49,2025-05-26,Settled
TXN100201,3642.13,2025-05-17,Settled
TXN100202,2420.46,2025-04-22,Failed
TXN100203,3768.96,2025-01-14,Settled
TXN100204,2363.84,2025-06-18,Settled
TXN100205,135.27,2025-03-23,Settled
TXN100206,2738.81,2025-05-02,Settled
TXN100207,3144.67,2025-03-04,Settled
TXN100208,4906.98,2025-04-19,"In Progress"
TXN100209,251.92,2025-01-06,Settled
TXN100210,2584.88,2025-06-06,Settled
TXN100211,535.87,2025-06-11,Settled
TXN100212,787.53,2025-02-08,Settled
TXN100213,3071.79,2025-02-15,Settled
TXN100214,1196.26,2025-02-27,Settled
TXN100215,3758.41,2025-03-06,Settled
TXN100216,2595.28,2025-01-26,Settled
TXN100217,1130.15,2025-05-28,Settled
TXN100218,2494.27,2025-03-02,Settled
TXN100219,54.36,2025-02-21,Settled
TXN100220,4320.56,2025-04-22,Settled
TXN100222,84.70,2025-06-26,Settled
TXN100224,4868.93,2025-01-28,Settled
TXN100225,4286.87,2025-04-12,Settled
TXN100226,1297.49,2025-04-29,Settled
TXN100227,1023.50,2025-02-13,Settled
TXN100228,3149.26,2025-06-22,Settled
TXN100229,4122.06,2025-03-14,Settled
TXN100230,1842.29,2025-02-09,Settled
TXN100231,2190.16,2025-06-10,Settled
TXN100232,621.67,2025-03-09,Settled
TXN100233,806.49,2025-06-22,Settled
TXN100234,2863.34,2025-03-13,Settled
TXN100235,558.15,2025-06-05,Settled
TXN100236,1050.13,2025-06-14,Settled
TXN100237,1211.65,2025-03-21,"In Progress"
TXN100238,2247.43,2025-04-30,Settled
TXN100239,275.78,2025-01-23,Settled
TXN100240,2523.87,2025-03-09,Settled
TXN100241,4646.94,2025-05-27,Settled
TXN100242,171.10,2025-02-02,Settled
TXN100243,3173.38,2025-03-20,Settled
TXN100244,4187.42,2025-04-05,Settled
TXN100245,1596.68,2025-01-17,Settled
TXN100246,701.02,2025-01-23,"In Progress"
TXN100247,264.53,2025-04-08,Settled
TXN100248,3237.32,2025-06-22,Settled
TXN100249,2783.56,2025-02-06,"In Progress"
TXN100250,1185.01,2025-02-01,"In Progress"
TXN100251,4166.51,2025-05-14,Settled
TXN100252,3690.76,2025-04-26,Settled
TXN100253,1418.32,2025-04-26,Settled
TXN100254,3779.15,2025-03-05,Settled
TXN100255,1262.72,2025-03-15,Settled
TXN100256,3392.57,2025-01-19,Settled
TXN100257,636.80,2025-03-02,Settled
TXN100258,3476.59,2025-06-29,Settled
TXN100259,1231.93,2025-03-15,Failed
TXN100260,2883.72,2025-03-20,Settled
TXN100261,903.70,2025-03-14,"In Progress"
TXN100262,3643.54,2025-06-11,Settled
TXN100263,351.35,2025-01-24,Settled
TXN100264,868.82,2025-05-13,Settled
TXN100265,961.48,2025-04-01,"In Progress"
TXN100266,254.65,2025-06-02,Settled
TXN100267,3737.81,2025-03-03,Settled
TXN100268,4905.71,2025-04-24,Settled
TXN100269,3903.07,2025-03-23,Failed
TXN100270,4310.13,2025-05-28,Failed
TXN100271,79.74,2025-04-04,Settled
TXN100272,633.46,2025-02-17,Settled
TXN100273,2817.15,2025-01-10,Settled
TXN100274,4890.45,2025-02-25,Settled
TXN100275,3320.53,2025-04-15,Settled
TXN100276,1901.98,2025-03-03,Failed
TXN100277,773.44,2025-01-28,Settled
TXN100278,806.54,2025-01-29,Settled
TXN100279,1845.63,2025-01-26,Settled
TXN100280,3583.36,2025-05-25,Settled
TXN100281,207.51,2025-02-15,Settled
TXN100282,4268.28,2025-06-23,Settled
TXN100283,4710.68,2025-02-11,Settled
TXN100284,4449.64,2025-04-06,Settled
TXN100285,4569.48,2025-06-24,Failed
TXN100286,125.93,2025-01-22,Settled
TXN100287,4890.07,2025-02-17,Failed
TXN100288,1863.47,2025-02-01,Settled
TXN100289,4352.94,2025-04-28,Settled
TXN100290,974.70,2025-04-10,Settled
TXN100291,2260.30,2025-02-28,Settled
TXN100292,268.61,2025-01-17,Settled
TXN100293,248.38,2025-06-15,Settled
TXN100294,4719.22,2025-04-01,Settled
TXN100295,4062.50,2025-05-14,Settled
TXN100296,2672.64,2025-05-17,Settled
TXN100297,2651.02,2025-03-07,Settled
TXN100298,3756.34,2025-05-28,Settled
TXN100299,1741.26,2025-04-23,Settled
TXN100300,3821.25,2025-05-11,Settled
TXN100301,2450.79,2025-03-02,Settled
TXN100302,3207.69,2025-04-04,Settled
TXN100303,4825.91,2025-01-26,Settled
TXN100304,2383.01,2025-04-18,Settled
TXN100305,2121.10,2025-01-01,Failed
TXN100306,4533.46,2025-06-07,Settled
TXN100307,4517.77,2025-05-27,Settled
TXN100308,4962.47,2025-05-03,Settled
TXN100309,2776.77,2025-02-27,Settled
TXN100310,1754.09,2025-03-31,Settled
TXN100311,1239.93,2025-05-31,Settled
TXN100312,218.78,2025-02-22,Settled
TXN100313,3647.31,2025-03-28,Settled
TXN100314,1205.71,2025-01-19,Settled
TXN100315,3052.87,2025-06-16,Settled
TXN100316,4587.13,2025-06-05,Failed
TXN100317,4753.56,2025-05-11,Settled
TXN100318,71.83,2025-01-19,Settled
TXN100319,1619.52,2025-01-24,Settled
TXN100320,4195.02,2025-04-01,Settled
TXN100321,2705.40,2025-03-27,Settled
TXN100322,4047.17,2025-05-16,Settled
TXN100323,4273.95,2025-06-28,Settled
TXN100324,2241.00,2025-03-01,Settled
TXN100325,1826.97,2025-03-02,Settled
TXN100326,2304.39,2025-03-27,Settled
TXN100327,3281.34,2025-06-04,Settled
TXN100328,1867.44,2025-02-06,Settled
TXN100329,3886.19,2025-02-20,Settled
TXN100330,4524.76,2025-02-04,Settled
TXN100331,1447.44,2025-02-14,Settled
TXN100333,3132.49,2025-01-03,Settled
TXN100334,4396.94,2025-01-03,"In Progress"
TXN100335,564.39,2025-02-06,Settled
TXN100336,1294.92,2025-01-11,Settled
TXN100337,1639.04,2025-05-09,Settled
TXN100338,1548.97,2025-05-27,Settled
TXN100339,900.71,2025-03-26,Settled
TXN100340,4347.59,2025-02-21,Settled
TXN100341,2122.13,2025-01-28,Settled
TXN100342,4817.49,2025-03-23,Settled
TXN100343,2938.19,2025-04-17,Settled
TXN100344,735.05,2025-02-06,Settled
TXN100345,2752.23,2025-05-27,Settled
TXN100346,4968.05,2025-03-19,Settled
TXN100347,2847.60,2025-03-01,Settled
TXN100348,59.25,2025-01-01,Settled
TXN100349,4668.75,2025-04-01,Settled
TXN100350,1212.73,2025-05-20,Failed
TXN100351,3458.22,2025-02-12,Settled
TXN100352,2599.65,2025-02-12,Settled
TXN100353,1660.90,2025-03-12,Settled
TXN100354,1449.07,2025-04-17,"In Progress"
TXN100355,4647.36,2025-01-30,Settled
TXN100356,4564.03,2025-04-02,Settled
TXN100357,2590.02,2025-01-08,Settled
TXN100358,1324.14,2025-01-12,Settled
TXN100359,556.59,2025-03-30,Settled
TXN100360,825.05,2025-03-14,Settled
TXN100361,2635.15,2025-06-09,Settled
TXN100362,1573.76,2025-05-25,Settled
TXN100363,258.24,2025-04-24,Settled
TXN100364,2303.08,2025-04-12,Settled
TXN100365,3743.64,2025-02-09,Settled
TXN100366,4463.89,2025-06-21,Failed
TXN100367,2947.16,2025-01-04,Settled
TXN100368,3630.30,2025-02-26,Settled
TXN100369,1852.15,2025-04-24,Settled
TXN100370,2506.38,2025-06-15,Settled
TXN100371,3661.65,2025-04-04,Settled
TXN100372,3651.91,2025-03-29,Settled
TXN100374,2741.15,2025-03-07,Settled
TXN100375,4623.08,2025-02-18,Settled
TXN100376,3178.39,2025-01-09,Settled
TXN100377,3230.74,2025-01-24,Settled
TXN100378,3933.87,2025-05-15,Settled
TXN100379,620.35,2025-02-25,Settled
TXN100380,2638.28,2025-01-20,Settled
TXN100381,4799.19,2025-06-13,Settled
TXN100382,1840.22,2025-06-22,Settled
TXN100383,1509.88,2025-02-09,Settled
TXN100384,3025.98,2025-06-21,Settled
TXN100385,1144.54,2025-05-31,Settled
TXN100386,2801.93,2025-01-09,Settled
TXN100387,820.48,2025-06-19,Settled
TXN100388,2919.98,2025-02-03,Settled
TXN100389,3031.78,2025-02-28,Settled
TXN100390,2121.08,2025-03-06,Settled
TXN100391,1944.59,2025-04-28,"In Progress"
TXN100392,1297.56,2025-04-04,Settled
TXN100393,1688.07,2025-03-24,Settled
TXN100394,2516.81,2025-03-08,Settled
TXN100395,1275.91,2025-03-15,Settled
TXN100396,3925.03,2025-01-09,Settled
TXN100397,3559.72,2025-06-05,Settled
TXN100398,1383.06,2025-01-11,Settled
TXN100399,532.30,2025-01-16,Settled
TXN100400,50.89,2025-01-23,Failed
TXN100401,3003.76,2025-06-12,Settled
TXN100402,1096.25,2025-01-24,Settled
TXN100404,1827.47,2025-06-12,Settled
TXN100405,4811.89,2025-01-21,Settled
TXN100406,3465.22,2025-03-19,Settled
TXN100407,4295.93,2025-06-04,Settled
TXN100408,766.46,2025-06-22,Settled
TXN100409,412.78,2025-01-01,Settled
TXN100411,4780.53,2025-01-27,Failed
TXN100412,1536.00,2025-02-14,Settled
TXN100413,2324.55,2025-06-14,Settled
TXN100414,2002.89,2025-01-26,Settled
TXN100415,3665.76,2025-06-27,Settled
TXN100416,1584.33,2025-05-01,Settled
TXN100417,2700.49,2025-06-15,Settled
TXN100418,4978.13,2025-05-03,Settled
TXN100419,2248.11,2025-01-11,Settled
TXN100420,2778.79,2025-04-28,Settled
TXN100422,4025.77,2025-03-16,Settled
TXN100423,1370.86,2025-05-13,Settled
TXN100424,893.67,2025-03-21,Settled
TXN100425,3782.76,2025-01-14,Settled
TXN100426,2107.31,2025-06-10,Settled
TXN100427,4556.87,2025-02-21,Settled
TXN100428,3238.59,2025-06-01,Settled
TXN100429,2843.50,2025-01-05,Settled
TXN100430,398.76,2025-02-11,Settled
TXN100431,3665.54,2025-02-15,Settled
TXN100432,3445.90,2025-06-08,Settled
TXN100433,3218.36,2025-02-20,Settled
TXN100434,1376.15,2025-06-12,Settled
TXN100435,4736.36,2025-05-25,Settled
TXN100436,1642.19,2025-03-02,Settled
TXN100437,803.54,2025-03-17,Settled
TXN100438,4936.65,2025-06-13,Settled
TXN100439,3743.92,2025-06-16,Settled
TXN100440,2103.20,2025-03-12,Settled
TXN100441,4682.79,2025-05-04,Settled
TXN100442,501.03,2025-01-14,Settled
TXN100443,483.92,2025-02-25,Settled
TXN100444,3428.13,2025-03-21,Settled
TXN100445,930.96,2025-06-08,Settled
TXN100446,4589.84,2025-03-26,Settled
TXN100447,4209.78,2025-02-20,Settled
TXN100448,1566.52,2025-03-04,Settled
TXN100449,4449.76,2025-01-26,Settled
TXN100450,262.29,2025-05-03,Settled
TXN100451,2765.76,2025-05-07,Settled
TXN100452,4681.04,2025-03-18,Settled
TXN100453,4284.15,2025-04-11,Settled
TXN100454,1812.56,2025-03-25,Settled
TXN100455,955.21,2025-01-14,Settled
TXN100456,1092.18,2025-06-18,Settled
TXN100457,2596.81,2025-03-29,Settled
TXN100458,3004.03,2025-01-13,Settled
TXN100459,212.43,2025-03-15,Settled
TXN100460,2097.08,2025-05-16,Settled
TXN100461,4160.42,2025-04-01,Settled
TXN100462,2249.43,2025-01-31,Settled
TXN100463,887.42,2025-03-06,"In Progress"
TXN100464,4815.63,2025-02-04,Settled
TXN100465,1368.06,2025-04-30,Settled
TXN100466,4002.22,2025-06-21,Settled
TXN100467,1009.28,2025-02-26,Settled
TXN100468,2144.71,2025-03-27,Settled
TXN100469,2477.59,2025-06-08,"In Progress"
TXN100470,2528.14,2025-04-23,Settled
TXN100471,2606.55,2025-06-06,Settled
TXN100472,1163.49,2025-02-28,Settled
TXN100473,2603.78,2025-01-12,Settled
TXN100474,2434.48,2025-05-13,Settled
TXN100475,1083.16,2025-06-03,Settled
TXN100476,4941.55,2025-05-24,Settled
TXN100477,4334.54,2025-01-19,"In Progress"
TXN100478,4443.50,2025-03-20,Settled
TXN100479,3443.58,2025-01-05,Settled
TXN100480,841.49,2025-04-08,Settled
TXN100481,2862.06,2025-05-30,Settled
TXN100482,4116.13,2025-06-02,Settled
TXN100483,241.75,2025-01-02,Settled
TXN100484,2504.42,2025-02-17,Settled
TXN100485,2010.81,2025-03-18,Settled
TXN100486,1100.02,2025-05-22,Settled
TXN100487,1922.34,2025-03-07,Settled
TXN100488,4918.31,2025-04-07,Settled
TXN100489,3630.05,2025-06-29,Settled
TXN100490,1532.71,2025-01-18,Settled
TXN100491,3046.51,2025-01-11,Settled
TXN100492,1270.95,2025-02-09,Settled
TXN100493,3073.68,2025-01-15,"In Progress"
TXN100494,4486.03,2025-06-14,Settled
TXN100495,2806.54,2025-02-26,Settled
TXN100496,3680.03,2025-04-10,Failed
TXN100497,2294.03,2025-05-26,Settled
TXN100498,2644.41,2025-05-05,"In Progress"
TXN100499,3490.62,2025-01-18,Settled
TXN100500,4071.40,2025-01-29,Settled
TXN100501,3314.28,2025-03-28,Settled
TXN100502,4888.59,2025-04-21,Settled
TXN100503,4108.12,2025-02-11,Settled
TXN100504,3896.94,2025-05-11,Settled
TXN100505,4233.25,2025-05-30,Settled
TXN100506,1441.99,2025-03-14,"In Progress"
TXN100507,2188.63,2025-02-17,Settled
TXN100508,2844.09,2025-06-22,Settled
TXN100509,2338.81,2025-06-16,Settled
TXN100510,4244.92,2025-03-09,Settled
TXN100511,183.99,2025-04-06,Settled
TXN100512,1085.42,2025-01-31,Settled
TXN100513,4414.45,2025-01-14,"In Progress"
TXN100514,342.55,2025-01-10,Settled
TXN100515,1173.59,2025-04-17,Settled
TXN100516,1788.69,2025-04-08,Settled
TXN100517,3766.17,2025-04-14,Settled
TXN100518,2822.89,2025-01-13,Failed
TXN100519,4775.29,2025-03-09,Settled
TXN100520,1177.98,2025-03-03,Settled
TXN100521,4367.00,2025-05-30,Settled
TXN100522,1450.42,2025-06-23,Settled
TXN100523,1265.22,2025-05-07,Settled
TXN100524,2516.96,2025-05-11,Settled
TXN100525,402.46,2025-03-27,Settled
TXN100526,1952.32,2025-02-23,Settled
TXN100527,1810.60,2025-06-18,Settled
TXN100528,842.50,2025-03-18,Settled
TXN100529,4310.93,2025-04-21,Settled
TXN100530,1960.15,2025-01-25,Settled
TXN100531,4910.50,2025-04-22,Settled
TXN100532,4503.55,2025-03-25,Settled
TXN100533,1014.31,2025-01-09,Settled
TXN100534,2550.35,2025-01-12,"In Progress"
TXN100535,3028.93,2025-01-08,Settled
TXN100536,4103.85,2025-02-23,Settled
TXN100537,4433.93,2025-05-28,Settled
TXN100538,3138.89,2025-03-01,Settled
TXN100539,223.91,2025-03-09,Settled
TXN100540,2432.32,2025-04-10,Settled
TXN100541,4429.78,2025-04-26,Settled
TXN100542,3584.74,2025-06-27,Settled
TXN100543,4357.20,2025-02-27,Settled
TXN100544,3386.69,2025-01-28,Settled
TXN100545,267.97,2025-01-01,Settled
TXN100546,4841.63,2025-03-08,Settled
TXN100547,4594.19,2025-04-18,"In Progress"
TXN100548,676.57,2025-03-09,Settled
TXN100549,607.82,2025-06-29,Settled
TXN100550,2718.44,2025-01-13,Settled
TXN100552,1941.76,2025-02-17,"In Progress"
TXN100553,725.09,2025-04-12,Settled
TXN100554,2577.25,2025-01-19,Settled
TXN100555,1720.95,2025-03-14,"In Progress"
TXN100556,1791.27,2025-02-03,Settled
TXN100557,3242.68,2025-03-04,Settled
TXN100558,4433.76,2025-06-01,Settled
TXN100559,2815.03,2025-02-10,Settled
TXN100561,3316.74,2025-03-28,Settled
TXN100562,2778.17,2025-02-10,Settled
TXN100563,1588.25,2025-02-27,Settled
TXN100564,1920.08,2025-06-23,Settled
TXN100565,1612.73,2025-01-17,Failed
TXN100566,4591.62,2025-01-08,Settled
TXN100567,4141.76,2025-04-25,Settled
TXN100568,2917.77,2025-01-08,"In Progress"
TXN100569,4565.61,2025-06-11,Settled
TXN100571,4642.09,2025-01-12,"In Progress"
TXN100572,1147.78,2025-06-22,Settled
TXN100573,3601.64,2025-06-13,Settled
TXN100574,3065.66,2025-02-01,Settled
TXN100575,3682.46,2025-02-27,Settled
TXN100576,1353.73,2025-06-07,Settled
TXN100577,3489.30,2025-05-29,Settled
TXN100578,2078.65,2025-06-05,Settled
TXN100579,4178.75,2025-01-10,Settled
TXN100580,3987.06,2025-03-23,Settled
TXN100581,1096.22,2025-05-11,Settled
TXN100582,960.08,2025-05-29,Settled
TXN100583,3602.77,2025-01-31,Settled
TXN100584,2774.85,2025-04-09,Settled
TXN100585,2808.17,2025-03-08,Settled
TXN100586,3774.95,2025-03-02,Settled
TXN100587,4282.11,2025-06-14,Settled
TXN100588,1232.87,2025-05-11,Settled
TXN100589,2799.92,2025-04-07,Settled
TXN100590,4153.33,2025-01-03,Settled
TXN100591,4370.33,2025-01-05,Settled
TXN100592,1472.68,2025-03-11,Failed
TXN100593,565.56,2025-06-16,Settled
TXN100594,1202.48,2025-06-23,Settled
TXN100595,4730.22,2025-03-23,Settled
TXN100596,2339.27,2025-01-21,Settled
TXN100597,2121.94,2025-02-01,Settled
TXN100598,114.77,2025-01-03,Settled
TXN100599,302.52,2025-01-12,Settled
TXN100600,3360.04,2025-06-25,Settled
TXN100601,2969.64,2025-02-17,Settled
TXN100602,2898.87,2025-06-01,Settled
TXN100603,596.10,2025-02-18,Settled
TXN100604,1792.70,2025-03-24,Settled
TXN100605,4071.17,2025-03-28,Settled
TXN100606,915.81,2025-01-07,Settled
TXN100607,4419.30,2025-03-29,Settled
TXN100608,651.32,2025-01-30,Settled
TXN100609,887.29,2025-06-26,Settled
TXN100610,2414.86,2025-04-01,Settled
TXN100611,4729.23,2025-02-18,Settled
TXN100612,1681.26,2025-05-09,Settled
TXN100613,3277.96,2025-04-19,Settled
TXN100614,2963.92,2025-05-15,Settled
TXN100615,790.63,2025-01-17,Settled
TXN100616,1278.43,2025-02-11,Settled
TXN100617,4683.83,2025-06-08,Settled
TXN100618,964.91,2025-05-21,Settled
TXN100619,3490.30,2025-05-19,Settled
TXN100620,4825.24,2025-06-05,Settled
TXN100621,641.55,2025-01-08,"In Progress"
TXN100622,2025.95,2025-05-23,Settled
TXN100623,1158.46,2025-03-23,Settled
TXN100624,1099.28,2025-03-09,Settled
TXN100625,638.98,2025-03-20,Failed
TXN100626,3265.28,2025-01-07,Settled
TXN100627,3744.40,2025-06-01,Settled
TXN100628,3400.13,2025-04-16,Settled
TXN100629,4627.05,2025-03-20,Settled
TXN100630,771.11,2025-03-08,Settled
TXN100631,1633.23,2025-06-20,Settled
TXN100632,1755.64,2025-01-02,Settled
TXN100633,1198.81,2025-06-10,Settled
TXN100634,753.91,2025-02-11,Settled
TXN100635,2459.18,2025-06-16,Settled
TXN100636,4180.48,2025-05-09,Settled
TXN100637,4774.97,2025-03-31,Settled
TXN100638,690.24,2025-02-02,Settled
TXN100639,4124.63,2025-02-10,Settled
TXN100640,4131.68,2025-05-13,Settled
TXN100641,1975.44,2025-03-29,Settled
TXN100642,594.65,2025-03-14,Settled
TXN100643,4950.54,2025-02-28,"In Progress"
TXN100644,3295.19,2025-03-30,Settled
TXN100645,4911.87,2025-06-14,Settled
TXN100646,2444.09,2025-03-31,Settled
TXN100647,2006.21,2025-04-15,Settled
