Transaction_ID,Customer_ID,Transaction_Date,Amount,Tansaction_Status,Payment_Method
TXN100090,7184,2025-01-04,4579.92,Completed,UPI
TXN100091,4099,2025-01-12,1330.31,Pending,NetBanking
TXN100092,7278,2025-02-11,3621.58,Completed,UPI
TXN100093,9392,2025-01-04,350.27,Processed,Wallet
TXN100094,4104,2025-03-25,3814.89,Processed,Wallet
TXN100095,8215,2025-04-02,678.78,Pending,Wallet
TXN100096,3454,2025-04-02,3493.15,Processed,UPI
TXN100097,9996,2025-01-06,2685.10,Completed,UPI
TXN100098,3731,2025-05-22,4779.67,Completed,UPI
TXN100099,9154,2025-02-04,232.74,Pending,NetBanking
TXN100100,6056,2025-06-24,1495.64,Completed,Wallet
TXN100101,9110,2025-03-06,394.07,Processed,UPI
TXN100102,4840,2025-05-27,4402.03,Completed,Wallet
TXN100103,2028,2025-02-26,2989.81,Completed,Wallet
TXN100104,8385,2025-01-13,2698.10,Completed,UPI
TXN100105,1502,2025-05-16,700.72,Completed,UPI
TXN100106,7910,2025-01-18,2470.71,Completed,NetBanking
TXN100107,7938,2025-06-12,2023.58,Completed,NetBanking
TXN100108,5488,2025-03-28,1612.97,Pending,Wallet
TXN100109,1206,2025-04-24,3872.34,Pending,UPI
TXN100110,6134,2025-01-26,353.32,Completed,UPI
TXN100111,6977,2025-06-15,3251.09,Completed,UPI
TXN100112,8721,2025-03-07,4123.82,Completed,Wallet
TXN100113,8035,2025-01-26,4541.17,Pending,UPI
TXN100114,2484,2025-05-06,3742.29,Completed,NetBanking
TXN100115,8858,2025-02-26,1448.16,Completed,Card
TXN100116,1863,2025-01-25,3022.51,Completed,Card
TXN100117,3790,2025-01-30,749.95,Completed,NetBanking
TXN100118,8408,2025-05-15,629.45,Processed,Card
TXN100119,9755,2025-01-27,3211.19,Pending,NetBanking
TXN100120,6116,2025-05-19,4262.98,Completed,Wallet
TXN100121,7019,2025-04-11,382.88,Completed,Card
TXN100122,2757,2025-05-16,574.72,Completed,Wallet
TXN100123,8574,2025-01-11,2849.76,Completed,Wallet
TXN100124,7374,2025-05-06,1130.15,Completed,NetBanking
TXN100125,7892,2025-01-30,3078.50,Completed,Wallet
TXN100126,2678,2025-04-04,1111.99,Processed,Card
TXN100127,4242,2025-04-26,626.59,Processed,Card
TXN100128,5636,2025-01-15,2750.60,Processed,NetBanking
TXN100129,2059,2025-02-04,4317.87,Completed,Wallet
TXN100130,7668,2025-02-08,3441.35,Completed,UPI
TXN100131,4157,2025-01-24,4102.69,Completed,Wallet
TXN100132,6915,2025-01-08,1368.36,Completed,Card
TXN100133,3693,2025-02-12,4435.59,Pending,Card
TXN100134,4627,2025-06-19,1916.34,Processed,Card
TXN100135,6450,2025-03-25,4269.62,Completed,Wallet
TXN100136,2663,2025-06-18,2382.32,Completed,UPI
TXN100137,6592,2025-02-16,1375.90,Completed,Card
TXN100138,8392,2025-01-26,1338.28,Completed,Wallet
TXN100139,2306,2025-06-29,2859.96,Completed,NetBanking
TXN100140,7776,2025-05-30,441.10,Processed,Wallet
TXN100141,6864,2025-05-13,4653.78,Completed,Card
TXN100142,8526,2025-05-23,1393.74,Processed,Card
TXN100143,9901,2025-06-13,1711.34,Completed,Card
TXN100144,6575,2025-04-11,1204.84,Completed,Card
TXN100145,6530,2025-03-04,64.89,Completed,Card
TXN100146,5413,2025-04-03,3478.12,Processed,Wallet
TXN100147,4748,2025-06-26,2973.24,Completed,Wallet
TXN100148,1663,2025-02-24,4057.74,Pending,UPI
TXN100149,2998,2025-03-13,253.00,Completed,Wallet
TXN100150,8994,2025-03-01,4646.85,Processed,Card
TXN100151,2495,2025-01-29,1687.89,Completed,Wallet
TXN100152,4304,2025-01-19,4569.70,Completed,Wallet
TXN100153,4763,2025-03-14,580.30,Completed,UPI
TXN100154,6232,2025-05-18,3732.41,Completed,Card
TXN100155,2853,2025-04-11,2917.82,Completed,UPI
TXN100156,7585,2025-05-18,1823.05,Completed,Card
TXN100157,2291,2025-02-26,441.75,Pending,Card
TXN100158,4581,2025-03-09,3043.45,Completed,NetBanking
TXN100159,8554,2025-03-28,180.88,Completed,Wallet
TXN100160,8280,2025-04-13,2531.35,Processed,Card
TXN100161,2636,2025-03-13,3040.83,Processed,NetBanking
TXN100162,4696,2025-05-09,3675.99,Processed,UPI
TXN100163,1698,2025-04-28,4957.11,Completed,Wallet
TXN100164,5737,2025-05-20,1337.46,Completed,Card
TXN100165,1854,2025-06-12,1645.83,Completed,NetBanking
TXN100166,9164,2025-04-26,1738.67,Completed,UPI
TXN100167,6855,2025-03-23,3671.33,Completed,UPI
TXN100168,8392,2025-06-10,4662.51,Completed,NetBanking
TXN100169,7528,2025-04-19,4872.90,Completed,Wallet
TXN100170,6249,2025-06-02,4731.77,Completed,Card
TXN100171,6172,2025-01-16,4402.95,Completed,NetBanking
TXN100172,2707,2025-05-16,4955.34,Completed,NetBanking
TXN100173,6791,2025-02-04,1910.93,Completed,UPI
TXN100174,6535,2025-06-23,4744.19,Completed,NetBanking
TXN100175,5931,2025-05-19,3817.05,Completed,Wallet
TXN100176,4510,2025-02-13,883.88,Completed,UPI
TXN100177,1202,2025-05-19,275.05,Processed,NetBanking
TXN100178,5218,2025-05-19,1111.70,Completed,NetBanking
TXN100179,9958,2025-05-30,3904.82,Completed,Wallet
TXN100180,5389,2025-03-26,3176.90,Processed,Card
TXN100181,3327,2025-03-23,1160.56,Completed,Card
TXN100182,9004,2025-06-25,3722.51,Completed,Card
TXN100183,3931,2025-04-12,749.55,Completed,UPI
TXN100184,8777,2025-03-04,4118.11,Completed,Card
TXN100185,1197,2025-06-28,3981.10,Completed,Card
TXN100186,8125,2025-06-22,4864.25,Completed,UPI
TXN100187,2930,2025-02-02,793.88,Completed,NetBanking
TXN100188,7287,2025-03-01,4537.73,Completed,UPI
TXN100189,9800,2025-05-03,1738.46,Completed,Card
TXN100190,5282,2025-01-02,2109.50,Processed,UPI
TXN100191,3511,2025-05-21,2368.80,Completed,UPI
TXN100192,1659,2025-02-26,3153.18,Completed,Card
TXN100193,3811,2025-06-20,4974.08,Pending,NetBanking
TXN100194,8098,2025-02-14,3019.80,Completed,Card
TXN100195,7546,2025-01-31,4637.24,Completed,UPI
TXN100196,2986,2025-05-18,1312.39,Completed,Card
TXN100197,9338,2025-01-23,2022.14,Completed,NetBanking
TXN100198,3911,2025-01-29,2547.27,Completed,Wallet
TXN100199,2734,2025-01-31,1648.36,Completed,UPI
TXN100200,2843,2025-01-18,4885.49,Completed,NetBanking
TXN100201,9680,2025-01-11,3642.13,Processed,Card
TXN100202,3976,2025-04-13,2420.46,Completed,Card
TXN100203,2959,2025-02-16,3768.96,Completed,Wallet
TXN100204,6759,2025-01-03,2363.84,Processed,UPI
TXN100205,7694,2025-05-10,135.27,Completed,Card
TXN100206,3385,2025-03-13,2738.81,Completed,NetBanking
TXN100207,5736,2025-06-08,3144.67,Processed,UPI
TXN100208,2802,2025-05-16,4906.98,Completed,Wallet
TXN100209,9155,2025-06-20,251.92,Completed,NetBanking
TXN100210,9120,2025-06-25,2584.88,Completed,Wallet
TXN100211,7616,2025-05-10,535.87,Pending,NetBanking
TXN100212,6534,2025-01-22,787.53,Completed,UPI
TXN100213,5061,2025-05-04,3071.79,Completed,NetBanking
TXN100214,1262,2025-05-13,1196.26,Completed,UPI
TXN100215,7287,2025-05-15,3758.41,Completed,UPI
TXN100216,9815,2025-01-20,2595.28,Completed,NetBanking
TXN100217,3049,2025-03-18,1130.15,Completed,NetBanking
TXN100218,6423,2025-05-10,2494.27,Completed,UPI
TXN100219,5548,2025-02-01,54.36,Completed,Card
TXN100220,4108,2025-03-31,4320.56,Completed,Card
TXN100221,8158,2025-01-03,112.76,Completed,NetBanking
TXN100222,8400,2025-06-18,84.70,Completed,Card
TXN100223,4170,2025-02-11,3076.94,Completed,Card
TXN100224,3255,2025-03-18,4868.93,Processed,UPI
TXN100225,2154,2025-06-22,4286.87,Completed,UPI
TXN100226,5499,2025-04-11,1297.49,Completed,Card
TXN100227,7295,2025-05-25,1023.50,Completed,Wallet
TXN100228,7197,2025-05-08,3149.26,Completed,NetBanking
TXN100229,2648,2025-02-16,4122.06,Processed,Wallet
TXN100230,6539,2025-06-01,1842.29,Completed,Wallet
TXN100231,5199,2025-05-03,2190.16,Completed,Wallet
TXN100232,9445,2025-02-03,621.67,Completed,Card
TXN100233,3557,2025-06-27,806.49,Processed,UPI
TXN100234,6592,2025-02-11,2863.34,Completed,Card
TXN100235,1098,2025-02-02,558.15,Pending,Wallet
TXN100236,3200,2025-05-03,1050.13,Completed,Card
TXN100237,3961,2025-01-27,1211.65,Completed,NetBanking
TXN100238,5973,2025-02-28,2247.43,Completed,Wallet
TXN100239,5433,2025-05-27,275.78,Processed,Card
TXN100240,3869,2025-04-25,2523.87,Completed,UPI
TXN100241,1956,2025-05-11,4646.94,Completed,Wallet
TXN100242,9352,2025-05-08,171.10,Completed,UPI
TXN100243,6699,2025-04-30,3173.38,Processed,NetBanking
TXN100244,7944,2025-06-02,4187.42,Completed,NetBanking
TXN100245,5493,2025-04-23,1596.68,Processed,Card
TXN100246,5911,2025-01-15,701.02,Completed,Card
TXN100247,4987,2025-03-24,264.53,Completed,NetBanking
TXN100248,7015,2025-03-24,3237.32,Completed,Wallet
TXN100249,2218,2025-01-23,2783.56,Completed,Wallet
TXN100250,5496,2025-01-11,1185.01,Completed,Wallet
TXN100251,5735,2025-04-26,4166.51,Completed,NetBanking
TXN100252,5555,2025-06-11,3690.76,Completed,UPI
TXN100253,9050,2025-04-13,1418.32,Completed,UPI
TXN100254,4446,2025-01-07,3779.15,Completed,Wallet
TXN100255,2045,2025-04-16,1262.72,Completed,Card
TXN100256,7893,2025-06-21,3392.57,Completed,Card
TXN100257,2693,2025-04-24,636.80,Completed,NetBanking
TXN100258,4436,2025-01-23,3476.59,Processed,Card
TXN100259,9754,2025-04-12,1231.93,Pending,NetBanking
TXN100260,6895,2025-02-27,2883.72,Completed,NetBanking
TXN100261,4354,2025-01-20,903.70,Completed,Card
TXN100262,1225,2025-06-04,3643.54,Completed,Card
TXN100263,5893,2025-04-27,351.35,Completed,Wallet
TXN100264,8022,2025-05-16,868.82,Completed,Wallet
TXN100265,6600,2025-04-11,961.48,Completed,Card
TXN100266,8996,2025-01-02,254.65,Pending,Wallet
TXN100267,8683,2025-01-22,3737.81,Completed,Wallet
TXN100268,5642,2025-03-11,4905.71,Completed,UPI
TXN100269,8679,2025-04-13,3903.07,Completed,Wallet
TXN100270,9208,2025-04-14,4310.13,Completed,Wallet
TXN100271,8339,2025-02-05,79.74,Completed,Wallet
TXN100272,3205,2025-04-18,633.46,Completed,UPI
TXN100273,2069,2025-01-24,2817.15,Completed,Wallet
TXN100274,4444,2025-05-20,4890.45,Pending,UPI
TXN100275,2060,2025-01-22,3320.53,Completed,Wallet
TXN100276,3327,2025-03-24,1901.98,Pending,NetBanking
TXN100277,4420,2025-03-14,773.44,Completed,NetBanking
TXN100278,1301,2025-05-04,806.54,Pending,Wallet
TXN100279,1606,2025-03-22,1845.63,Completed,UPI
TXN100280,4170,2025-05-31,3583.36,Pending,Card
TXN100281,1699,2025-03-15,207.51,Pending,NetBanking
TXN100282,6088,2025-01-30,4268.28,Completed,Card
TXN100283,1190,2025-05-27,4710.68,Completed,Card
TXN100284,1980,2025-01-26,4449.64,Pending,NetBanking
TXN100285,3975,2025-05-08,4569.48,Completed,NetBanking
TXN100286,7102,2025-01-11,125.93,Completed,Card
TXN100287,2184,2025-01-20,4890.07,Processed,UPI
TXN100288,4327,2025-04-28,1863.47,Completed,NetBanking
TXN100289,4394,2025-02-25,4352.94,Completed,Wallet
TXN100290,9319,2025-06-22,974.70,Completed,NetBanking
TXN100291,2816,2025-02-16,2260.30,Processed,Wallet
TXN100292,6854,2025-03-30,268.61,Processed,NetBanking
TXN100293,7709,2025-02-27,248.38,Completed,Wallet
TXN100294,1569,2025-01-10,4719.22,Completed,Wallet
TXN100295,6442,2025-01-22,4062.50,Completed,UPI
TXN100296,2895,2025-03-12,2672.64,Completed,UPI
TXN100297,3733,2025-01-24,2651.02,Completed,Card
TXN100298,4863,2025-04-06,3756.34,Processed,NetBanking
TXN100299,8455,2025-01-07,1741.26,Completed,NetBanking
TXN100300,5014,2025-03-13,3821.25,Completed,NetBanking
TXN100301,2686,2025-05-07,2450.79,Completed,UPI
TXN100302,4009,2025-02-07,3207.69,Processed,NetBanking
TXN100303,8806,2025-05-29,4825.91,Completed,NetBanking
TXN100304,1154,2025-05-16,2383.01,Completed,Card
TXN100305,2409,2025-05-01,2121.10,Processed,UPI
TXN100306,1784,2025-03-30,4533.46,Completed,Card
TXN100307,9096,2025-01-28,4517.77,Completed,NetBanking
TXN100308,8560,2025-04-02,4962.47,Completed,Card
TXN100309,8343,2025-02-23,2776.77,Completed,NetBanking
TXN100310,8206,2025-06-08,1754.09,Completed,NetBanking
TXN100311,6596,2025-04-26,1239.93,Completed,Card
TXN100312,6801,2025-04-26,218.78,Completed,Card
TXN100313,3806,2025-04-30,3647.31,Completed,Wallet
TXN100314,1537,2025-02-10,1205.71,Processed,NetBanking
TXN100315,6986,2025-02-06,3052.87,Processed,Wallet
TXN100316,2841,2025-05-05,4587.13,Completed,UPI
TXN100317,9716,2025-06-15,4753.56,Processed,Wallet
TXN100318,7971,2025-06-28,71.83,Processed,UPI
TXN100319,6625,2025-03-17,1619.52,Completed,Wallet
TXN100320,3950,2025-02-06,4195.02,Completed,Wallet
TXN100321,8992,2025-04-11,2705.40,Processed,Wallet
TXN100322,5780,2025-01-31,4047.17,Pending,Card
TXN100323,3368,2025-05-26,4273.95,Completed,UPI
TXN100324,7655,2025-03-31,2241.00,Processed,Wallet
TXN100325,9173,2025-01-06,1826.97,Completed,Wallet
TXN100326,5495,2025-05-17,2304.39,Completed,UPI
TXN100327,7002,2025-05-19,3281.34,Completed,Wallet
TXN100328,7614,2025-04-05,1867.44,Completed,NetBanking
TXN100329,6919,2025-04-29,3886.19,Completed,Card
TXN100330,1853,2025-04-20,4524.76,Completed,Card
TXN100331,5146,2025-04-30,1447.44,Completed,Card
TXN100332,4769,2025-05-10,4826.70,Completed,Wallet
TXN100333,1574,2025-05-03,3132.49,Completed,Card
TXN100334,2148,2025-01-29,4396.94,Completed,NetBanking
TXN100335,7293,2025-04-20,564.39,Processed,NetBanking
TXN100336,7457,2025-05-01,1294.92,Completed,UPI
TXN100337,8509,2025-06-28,1639.04,Completed,Wallet
TXN100338,5777,2025-03-10,1548.97,Completed,Card
TXN100339,4854,2025-05-31,900.71,Processed,NetBanking
TXN100340,3491,2025-01-07,4347.59,Completed,NetBanking
TXN100341,4124,2025-05-08,2122.13,Completed,Wallet
TXN100342,6691,2025-02-25,4817.49,Pending,Card
TXN100343,4051,2025-05-07,2938.19,Completed,UPI
TXN100344,1004,2025-03-18,735.05,Completed,UPI
TXN100345,6222,2025-03-03,2752.23,Completed,Wallet
TXN100346,6315,2025-03-15,4968.05,Completed,NetBanking
TXN100347,5869,2025-01-15,2847.60,Completed,NetBanking
TXN100348,1876,2025-02-22,59.25,Completed,Wallet
TXN100349,8027,2025-06-20,4668.75,Processed,Wallet
TXN100350,5142,2025-04-30,1212.73,Processed,Wallet
TXN100351,7966,2025-02-04,3458.22,Processed,Card
TXN100352,8079,2025-01-14,2599.65,Completed,Card
TXN100353,8987,2025-04-03,1660.90,Completed,UPI
TXN100354,7799,2025-05-02,1449.07,Completed,Wallet
TXN100355,5465,2025-06-26,4647.36,Completed,Wallet
TXN100356,1635,2025-01-18,4564.03,Completed,NetBanking
TXN100357,2693,2025-06-28,2590.02,Completed,UPI
TXN100358,5752,2025-05-09,1329.55,Completed,UPI
TXN100359,9311,2025-05-05,556.59,Processed,Wallet
TXN100360,1830,2025-01-27,825.05,Completed,UPI
TXN100361,6177,2025-03-05,2635.15,Completed,UPI
TXN100362,9932,2025-03-01,1573.76,Completed,NetBanking
TXN100363,9308,2025-06-18,258.24,Completed,UPI
TXN100364,6949,2025-05-29,2303.08,Completed,Wallet
TXN100365,3838,2025-01-14,3743.64,Completed,NetBanking
TXN100366,2150,2025-04-26,4463.89,Completed,Wallet
TXN100367,8560,2025-05-28,2947.16,Completed,NetBanking
TXN100368,2931,2025-04-02,3630.30,Processed,Card
TXN100369,2664,2025-03-26,1852.15,Completed,Wallet
TXN100370,2081,2025-03-28,2506.38,Pending,UPI
TXN100371,1512,2025-05-19,3661.65,Processed,UPI
TXN100372,8805,2025-04-30,3651.91,Completed,NetBanking
TXN100373,6237,2025-03-25,2151.41,Completed,UPI
TXN100374,1559,2025-01-24,2741.15,Completed,UPI
TXN100375,4672,2025-04-29,4623.08,Completed,UPI
TXN100376,8404,2025-03-30,3178.39,Completed,Card
TXN100377,4343,2025-02-06,3230.74,Completed,Wallet
TXN100378,5070,2025-03-27,3933.87,Completed,NetBanking
TXN100379,1580,2025-05-07,620.35,Completed,NetBanking
TXN100380,8004,2025-06-01,2638.28,Completed,Wallet
TXN100381,9130,2025-01-15,4799.19,Pending,Card
TXN100382,4147,2025-01-12,1840.22,Completed,Wallet
TXN100383,5249,2025-04-05,1509.88,Completed,NetBanking
TXN100384,2679,2025-01-31,3025.98,Completed,UPI
TXN100385,4506,2025-04-04,1144.54,Processed,UPI
TXN100386,8253,2025-03-25,2801.93,Pending,UPI
TXN100387,3744,2025-03-13,820.48,Completed,Card
TXN100388,6188,2025-02-13,2919.98,Completed,Card
TXN100389,3141,2025-01-30,3031.78,Completed,Card
TXN100390,7617,2025-02-04,2121.08,Completed,UPI
TXN100391,3479,2025-01-21,1944.59,Completed,NetBanking
TXN100392,7484,2025-04-21,1265.02,Completed,Card
TXN100393,8421,2025-03-04,1688.07,Completed,Wallet
TXN100394,5452,2025-04-02,2516.81,Processed,UPI
TXN100395,6881,2025-05-25,1275.91,Pending,UPI
TXN100396,7665,2025-01-12,3925.03,Completed,UPI
TXN100397,3849,2025-05-26,3559.72,Processed,UPI
TXN100398,8390,2025-04-02,1383.06,Completed,NetBanking
TXN100399,7905,2025-03-01,532.30,Completed,UPI
TXN100400,3489,2025-03-08,50.89,Processed,UPI
TXN100401,5611,2025-04-25,3003.76,Completed,NetBanking
TXN100402,3839,2025-01-15,1096.25,Pending,Wallet
TXN100403,9527,2025-01-16,112.28,Completed,Wallet
TXN100404,6878,2025-01-22,1827.47,Processed,NetBanking
TXN100405,7303,2025-04-28,4811.89,Pending,UPI
TXN100406,1851,2025-04-23,3465.22,Completed,Card
TXN100407,2687,2025-04-05,4295.93,Completed,Card
TXN100408,7833,2025-06-08,766.46,Processed,UPI
TXN100409,3427,2025-01-01,412.78,Completed,NetBanking
TXN100410,5000,2025-03-16,107.07,Completed,UPI
TXN100411,6052,2025-01-06,4780.53,Completed,UPI
TXN100412,3738,2025-03-28,1536.00,Completed,NetBanking
TXN100413,6732,2025-05-17,2324.55,Processed,NetBanking
TXN100414,6387,2025-06-29,2002.89,Completed,Card
TXN100415,9002,2025-03-03,3665.76,Completed,Card
TXN100416,6536,2025-02-27,1584.33,Completed,UPI
TXN100417,4913,2025-04-18,2700.49,Completed,NetBanking
TXN100418,2066,2025-01-19,4978.13,Completed,Wallet
TXN100419,8723,2025-04-19,2248.11,Completed,UPI
TXN100420,5380,2025-05-21,2778.79,Processed,Wallet
TXN100421,5107,2025-05-03,2537.51,Completed,UPI
TXN100422,6726,2025-06-09,4025.77,Completed,NetBanking
TXN100423,4373,2025-04-10,1370.86,Completed,Card
TXN100424,9945,2025-01-09,893.67,Completed,UPI
TXN100425,3082,2025-02-18,3782.76,Completed,NetBanking
TXN100426,9967,2025-06-14,2107.31,Completed,Card
TXN100427,7748,2025-01-31,4572.94,Completed,Card
TXN100428,1417,2025-06-08,3238.59,Completed,NetBanking
TXN100429,9306,2025-02-28,2843.50,Completed,NetBanking
TXN100430,9808,2025-05-27,398.76,Completed,NetBanking
TXN100431,4974,2025-05-10,3665.54,Completed,Wallet
TXN100432,4267,2025-02-14,3445.90,Completed,Wallet
TXN100433,1825,2025-04-06,3218.36,Pending,UPI
TXN100434,8668,2025-02-12,1376.15,Completed,UPI
TXN100435,6745,2025-04-08,4736.36,Completed,NetBanking
TXN100436,1412,2025-01-01,1642.19,Completed,UPI
TXN100437,8543,2025-05-11,803.54,Completed,UPI
TXN100438,8587,2025-04-01,4936.65,Completed,Wallet
TXN100439,1728,2025-02-13,3743.92,Completed,NetBanking
TXN100440,8164,2025-05-15,2103.20,Completed,UPI
TXN100441,9867,2025-02-02,4682.79,Completed,NetBanking
TXN100442,6988,2025-05-17,501.03,Completed,UPI
TXN100443,3504,2025-01-30,483.92,Completed,Wallet
TXN100444,3967,2025-05-26,3428.13,Processed,NetBanking
TXN100445,3786,2025-02-25,930.96,Completed,UPI
TXN100446,2122,2025-04-15,4589.84,Pending,Card
TXN100447,5079,2025-01-31,4209.78,Completed,Wallet
TXN100448,2571,2025-06-27,1566.52,Completed,Card
TXN100449,6073,2025-03-30,4449.76,Completed,NetBanking
TXN100450,6104,2025-01-01,262.29,Completed,Wallet
TXN100451,3143,2025-04-20,2765.76,Completed,Wallet
TXN100452,7806,2025-03-23,4681.04,Completed,UPI
TXN100453,8357,2025-01-19,4284.15,Completed,NetBanking
TXN100454,4440,2025-04-25,1812.56,Completed,Card
TXN100455,4766,2025-05-06,955.21,Pending,Card
TXN100456,6644,2025-03-05,1092.18,Completed,Card
TXN100457,3914,2025-02-22,2596.81,Completed,Wallet
TXN100458,5968,2025-01-06,3004.03,Completed,Card
TXN100459,6917,2025-01-17,212.43,Pending,Wallet
TXN100460,9787,2025-02-15,2097.08,Completed,Card
TXN100461,1728,2025-04-28,4160.42,Completed,UPI
TXN100462,2365,2025-03-14,2249.43,Processed,NetBanking
TXN100463,5492,2025-04-11,887.42,Completed,NetBanking
TXN100464,1698,2025-04-01,4776.56,Completed,UPI
TXN100465,8186,2025-01-06,1368.06,Completed,UPI
TXN100466,1395,2025-04-19,4002.22,Completed,Wallet
TXN100467,8400,2025-02-09,1009.28,Completed,NetBanking
TXN100468,9082,2025-04-01,2144.71,Completed,Card
TXN100469,5171,2025-03-07,2477.59,Completed,UPI
TXN100470,5360,2025-05-17,2528.14,Processed,UPI
TXN100471,3502,2025-01-11,2606.55,Completed,Wallet
TXN100472,1717,2025-05-28,1163.49,Completed,Wallet
TXN100473,3782,2025-04-26,2603.78,Processed,NetBanking
